city_ascii,country,lat,lng,tasmax_thresh,pr_thresh
Qincheng,China,34.5809,105.7311,32.24143707275391,22.92703365907074
Suining,China,30.5098,105.5737,36.00206146240237,26.467406379058954
Wuxi,China,31.5667,120.2833,34.80987640380863,39.05583120882511
Leshan,China,29.5854,103.7575,34.36498504638672,25.647428755648445
Putian,China,25.4394,119.0103,35.56241577148438,55.30778434686356
Zhenjiang,China,32.2109,119.4551,34.88062591552739,36.89668047800653
Guang'an,China,30.4673,106.6336,36.56272308349611,28.31641485728324
Faisalabad,Pakistan,31.4167,73.0911,44.97169555664067,93.60705292224843
Tongren,China,27.7233,109.1885,34.71892120361332,29.152349369600444
Santa Cruz,Bolivia,-17.7892,-63.1975,39.39832275390547,49.85925319790838
Qinhuangdao,China,39.9398,119.5881,34.48848999023437,46.05851501226426
Tongliao,China,43.6172,122.264,35.500267333984425,31.695842891000208
Jinzhou,China,41.1144,121.1292,34.52165161132814,45.84990007057787
Heyuan,China,23.7503,114.6923,36.49228942871093,47.87777707166966
San Diego,United States,32.8313,-117.1222,31.561894226073214,66.48709058761597
Jaipur,India,26.9,75.8,42.829167480468755,70.15019866079066
Xinzhou,China,38.4178,112.7233,35.94598999023441,30.005393676459672
Lanzhou,China,36.0617,103.8318,32.01969696044927,19.40799589175732
Wuzhou,China,23.4833,111.3167,36.18915771484376,34.56861844751971
Chaoyang,China,41.5757,120.4486,34.710680847167964,37.03511042520406
Athens,Greece,37.9842,23.7281,37.547027587890625,40.73924543336035
Addis Ababa,Ethiopia,9.03,38.74,29.86330383300782,40.299055203795476
Brasilia,Brazil,-15.7939,-47.8828,36.21129119872494,24.03066315874458
Taichung,Taiwan,24.1439,120.6794,29.751733398437523,68.52812236547463
Kuwait City,Kuwait,29.3697,47.9783,48.73978912353516,42.30204438976943
Budapest,Hungary,47.4925,19.0514,35.80837158203127,17.14542279392481
Shaoguan,China,24.8011,113.5927,36.72817382812502,39.70833506248893
Shanwei,China,22.7664,115.3331,34.99810974121095,55.07010011002417
Rizhao,China,35.4164,119.4331,32.475552368164074,57.28634668886674
Kyiv,Ukraine,50.45,30.5233,33.302947387695326,21.489567507058407
Quezon City,Philippines,14.63,121.03,31.920071411132824,72.184157051146
Sanaa,Yemen,15.3483,44.2064,28.77863006591798,62.312648333609054
Meishan,China,30.0575,103.8381,34.11271453857427,24.57026380766183
Incheon,South Korea,37.4833,126.6333,32.61997161865236,74.85405526310205
Guatemala City,Guatemala,14.6099,-90.5252,30.067290649409564,36.18616421520714
Birmingham,United Kingdom,52.48,-1.9025,27.65665924072266,21.956416312605125
Ningde,China,26.6617,119.5228,35.422907714843745,41.54968953877702
Zhongshan,China,22.5333,113.35,35.41557739257814,43.57355102151629
Weihai,China,37.5,122.1,27.294330749511744,42.742247946560354
Daqing,China,46.5979,125.008,34.88373138427738,29.551771111786426
Bursa,Turkey,40.1833,29.05,32.56583831787111,32.793757248669905
Salvador,Brazil,-12.9747,-38.4767,35.78307922363128,32.913744729012315
Haikou,China,20.02,110.32,33.43422851562502,54.526516506448445
Rome,Italy,41.8931,12.4828,35.66929046630861,25.762144111096827
La Paz,Bolivia,-16.5,-68.15,18.953384704589894,22.904898494482033
Xiangtan,China,27.8431,112.9228,36.419373779296905,35.13191804755481
Pyongyang,North Korea,39.0194,125.7381,33.71232604980469,54.2488427460193
Minneapolis,United States,44.9635,-93.2678,34.90010772705062,35.605226308107376
Omdurman,Sudan,15.65,32.4833,46.617122497558626,44.558728387579265
Mudanjiang,China,44.5861,129.5997,33.6797201538086,27.73500345647337
Malang,Indonesia,-7.98,112.62,27.89317504882814,43.97905480675399
Stuttgart,Germany,48.7775,9.18,32.66567535400395,17.250201771967124
Brooklyn,United States,40.6501,-73.9496,34.05532257080043,49.64368541724982
Kaohsiung,Taiwan,22.615,120.2975,30.46898071289064,70.53388240747174
Guayaquil,Ecuador,-2.19,-79.8875,39.27427154540372,47.14365044608708
Longyan,China,25.0881,117.0244,33.32325439453126,41.64603612944483
Lisbon,Portugal,38.7253,-9.15,32.009408874511735,44.35394253395498
Tieling,China,42.2841,123.8365,34.75009582519533,35.306556584313576
Baotou,China,40.6562,109.8345,35.09732543945313,32.118283292278626
Handan,China,36.6116,114.4894,38.00351898193361,37.024131179787204
Manchester,United Kingdom,53.4794,-2.2453,25.48484802245721,27.060297198593616
Cawnpore,India,26.4499,80.3319,44.299012451171905,65.87089859694238
Dingxi,China,35.5806,104.6263,28.830923156738322,20.716041728854172
Nanping,China,26.6448,118.1728,35.618259582519556,43.01538738235832
Tampa,United States,27.9945,-82.4447,41.81201171874347,39.68928565364329
Zigong,China,29.3498,104.7645,35.765412902832054,25.693681547418258
Maracaibo,Venezuela,10.6333,-71.6333,38.70276367186964,32.459982756525235
Chaozhou,China,23.67,116.63,36.62806762695317,48.55041579902188
Denver,United States,39.762,-104.8758,36.16636352539016,30.70327482372523
Mbuji-Mayi,Congo (Kinshasa),-6.15,23.6,38.38782348632816,30.778888022527102
Weifang,China,36.7167,119.1,35.54503387451172,50.263357674703
Huai'an,China,33.5058,119.1392,34.70249084472658,40.242521538399096
Zibo,China,36.7831,118.0497,37.157736511230496,49.657757459208234
Ankang,China,32.6877,109.0235,35.52902465820313,41.90031884796915
Baoshan,China,25.1211,99.169,28.651789855957077,26.700388770550585
Huludao,China,40.7094,120.8378,33.90321136474614,46.36298202909527
Antananarivo,Madagascar,-18.9333,47.5167,29.629293212890673,34.25637786090374
Munich,Germany,48.1375,11.575,30.250375061035186,20.08548374287784
Gulou,China,26.0865,119.298,34.98654968261724,45.756419084966076
Yanjiang,China,30.1256,104.6397,34.82481048583986,23.959683157503616
Santo Domingo,Dominican Republic,18.4764,-69.8933,31.587868041992238,36.37688044086099
Sanming,China,26.2658,117.6302,35.50767608642582,39.98497442901134
Tashkent,Uzbekistan,41.3111,69.2797,39.434178161621105,24.991164034232504
Longba,China,33.535,105.349,33.7566787719727,25.15878528356552
Yangjiang,China,21.8556,111.9627,35.55773376464845,55.95583509653819
Jiamusi,China,46.8081,130.3653,34.36050903320313,27.020532930269805
Luohe,China,33.583,114.0109,37.49524261474613,37.02825540304183
Lincang,China,23.8864,100.0871,29.441950988769577,22.046107387170213
Xuanzhou,China,30.9475,118.7518,35.58947998046875,37.41830991581079
Medellin,Colombia,6.2308,-75.5906,26.50805755615238,40.71578767988829
Yunfu,China,22.9242,112.0353,34.91327270507816,42.097440591081956
Shaoxing,China,30.0,120.5833,37.09293853759766,38.933065026998506
Yantai,China,37.3997,121.2664,31.115612182617213,72.98405172675845
Huizhou,China,23.1115,114.4152,35.57256805419922,50.70618971250964
Lishui,China,28.45,119.9167,37.580288696289074,38.62359469290841
Mirzapur,India,25.146,82.569,45.26664093017581,58.21720011904833
Hamburg,Germany,53.55,10.0,30.22858734130864,20.841816381085668
Guangyuan,China,32.4353,105.8398,35.022848815917996,27.89745308831338
Huangshi,China,30.2018,115.0326,36.73763427734377,39.264983564615335
Cali,Colombia,3.4206,-76.5222,29.976412658686893,30.39656848087904
Xining,China,36.6239,101.7787,28.874975585937534,16.098971833940595
Lusaka,Zambia,-15.4167,28.2833,37.27883270263675,33.51733291056007
